,id,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
17592,552658703710330593,68,29,0,2022-02-18,2023-11-23,4.9,4.87,4.85,4.94,4.97,4.97,4.87,3.01
17593,555976870392468189,18,8,0,2022-02-16,2023-10-16,5.0,5.0,4.94,5.0,5.0,4.89,4.94,0.8
17594,552680660397008580,0,0,0,,,,,,,,,,
17595,556193636727192522,19,16,0,2022-10-27,2023-11-19,4.84,4.95,4.89,5.0,4.95,4.63,4.89,1.33
17596,547251164320515232,1,0,0,2022-02-22,2022-02-22,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.04
17597,547323788832040338,3,1,0,2022-02-13,2023-09-10,4.67,4.67,4.67,4.67,4.33,4.67,5.0,0.13
17598,552681526701962456,2,0,0,2022-10-16,2022-12-06,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.14
17599,556267470059806323,13,0,0,2022-02-28,2022-09-12,4.69,4.62,4.62,4.69,4.69,4.85,4.77,0.58
17600,552697889185030773,42,19,1,2022-03-16,2023-11-27,4.74,4.74,4.79,4.79,4.71,4.93,4.76,1.94
17601,556302258741047742,49,27,0,2022-03-02,2023-11-26,4.88,4.82,4.6,4.96,5.0,4.98,4.76,2.2
17602,556374590214955534,3,1,0,2022-09-11,2023-04-16,5.0,5.0,4.67,5.0,5.0,5.0,5.0,0.19
17603,547348849095768340,0,0,0,,,,,,,,,,
17604,552756898119616467,14,1,0,2022-02-21,2023-06-11,4.79,4.93,4.79,4.64,4.43,5.0,4.64,0.62
17605,557300474522290743,1,0,0,2022-02-21,2022-02-21,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0.04
17606,556436259768096433,0,0,0,,,,,,,,,,
17607,556469891381289885,0,0,0,,,,,,,,,,
17608,552757673255607563,5,0,0,2022-03-01,2022-09-13,4.4,4.8,4.6,4.8,5.0,5.0,5.0,0.23
17609,556559305851767606,3,0,0,2022-03-02,2022-04-21,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.13
17610,557344760976116435,2,0,0,2022-03-02,2022-09-12,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.09
17611,557421087978460847,23,15,1,2022-03-31,2023-12-19,5.0,5.0,5.0,5.0,5.0,4.96,5.0,1.08
17612,552822847514447367,57,53,6,2022-03-01,2023-12-22,5.0,4.96,4.96,4.98,4.98,4.93,4.89,2.56
17613,552838587518845264,74,41,5,2022-02-13,2023-12-15,4.76,4.84,4.74,4.81,4.86,4.62,4.77,3.26
17614,557666108166379883,18,14,2,2022-03-16,2023-12-17,5.0,5.0,5.0,5.0,5.0,4.94,4.89,0.83
17615,556602936209433789,11,7,0,2022-04-03,2023-11-12,5.0,5.0,4.91,5.0,5.0,5.0,4.91,0.52
17616,556607464081076794,13,10,0,2022-08-15,2023-10-16,4.69,4.77,4.77,5.0,4.92,4.92,4.62,0.78
17617,552907995774954384,0,0,0,,,,,,,,,,
17618,556622023916097055,10,2,0,2022-02-20,2023-10-14,4.64,4.82,4.18,4.91,4.91,4.82,4.55,0.44
17619,557702185434257104,0,0,0,,,,,,,,,,
17620,557748743991225478,7,2,0,2022-04-24,2023-03-12,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.34
17621,557812935831910344,53,20,0,2022-02-13,2023-11-26,4.96,4.96,4.91,5.0,5.0,4.98,4.98,2.32
17622,552937030990070664,0,0,0,,,,,,,,,,
17623,556931723660809236,7,6,0,2022-09-13,2023-11-09,4.71,4.86,4.57,5.0,5.0,4.71,4.86,0.44
17624,552948934634666178,0,0,0,,,,,,,,,,
17625,557815242949275928,20,13,0,2022-03-01,2023-11-19,5.0,4.95,5.0,4.95,4.95,5.0,5.0,0.9
17626,562526763846246581,4,0,0,2022-02-27,2022-09-12,5.0,5.0,5.0,5.0,5.0,5.0,4.75,0.18
17627,557818568603240279,1,0,0,2022-03-31,2022-03-31,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.05
17628,556972922813604417,13,6,0,2022-02-19,2023-11-12,4.92,4.92,4.92,4.92,4.85,4.85,4.69,0.58
17629,556985028570911362,4,3,0,2022-09-14,2023-11-24,4.75,4.5,4.75,5.0,5.0,4.75,4.5,0.26
17630,562536532729266268,0,0,0,,,,,,,,,,
17631,557048583905723222,10,4,0,2022-03-01,2023-03-27,5.0,5.0,5.0,4.7,5.0,4.9,4.5,0.45
17632,557840658586367936,16,8,2,2022-03-02,2023-12-23,5.0,4.88,4.88,5.0,5.0,4.47,4.76,0.72
17633,562787583384511417,82,43,2,2022-03-06,2023-12-15,4.85,4.94,4.79,5.0,4.93,4.96,4.73,3.72
17634,557082530032925410,6,5,0,2022-09-11,2023-11-20,4.5,4.83,4.83,4.83,4.83,4.83,4.67,0.38
17635,562818211751417312,35,16,0,2022-03-17,2023-11-20,4.72,4.78,4.72,4.83,4.81,4.81,4.58,1.61
17636,557082628567394208,4,3,0,2022-11-14,2023-11-26,4.75,4.75,4.75,5.0,4.5,4.75,4.25,0.29
17637,557853692235151017,30,18,1,2022-02-25,2023-12-11,4.93,4.97,4.97,5.0,5.0,4.5,4.9,1.34
17638,557903977376721724,0,0,0,,,,,,,,,,
17639,562829863272250207,5,0,0,2022-03-01,2022-07-10,4.6,4.6,4.2,4.6,5.0,4.8,4.8,0.23
17640,557914435953565983,10,5,0,2022-02-25,2023-11-05,4.6,4.7,4.4,4.7,4.8,4.7,4.6,0.45
17641,562833123629028278,38,13,4,2022-03-01,2023-12-25,4.95,4.95,4.87,4.97,5.0,5.0,4.89,1.71
17642,557975408232733691,1,0,0,2022-03-08,2022-03-08,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.05
17643,557102303069387876,26,15,1,2022-03-10,2023-12-10,4.69,4.77,4.77,4.73,4.81,4.69,4.58,1.18
