,id,listing_url,scrape_id,last_scraped,source,license,calendar_updated,calendar_last_scraped
55,86670,https://www.airbnb.com/rooms/86670,20231226034138,2023-12-26,city scrape,,,2023-12-26
56,348330,https://www.airbnb.com/rooms/348330,20231226034138,2023-12-26,city scrape,,,2023-12-26
57,352718,https://www.airbnb.com/rooms/352718,20231226034138,2023-12-27,city scrape,,,2023-12-27
58,86864,https://www.airbnb.com/rooms/86864,20231226034138,2023-12-27,city scrape,,,2023-12-27
59,355075,https://www.airbnb.com/rooms/355075,20231226034138,2023-12-26,city scrape,,,2023-12-26
60,249842,https://www.airbnb.com/rooms/249842,20231226034138,2023-12-26,city scrape,,,2023-12-26
61,86978,https://www.airbnb.com/rooms/86978,20231226034138,2023-12-28,city scrape,,,2023-12-28
62,356489,https://www.airbnb.com/rooms/356489,20231226034138,2023-12-27,city scrape,,,2023-12-27
63,87762,https://www.airbnb.com/rooms/87762,20231226034138,2023-12-26,city scrape,,,2023-12-26
64,357554,https://www.airbnb.com/rooms/357554,20231226034138,2023-12-27,city scrape,,,2023-12-27
65,251868,https://www.airbnb.com/rooms/251868,20231226034138,2023-12-26,city scrape,,,2023-12-26
66,88528,https://www.airbnb.com/rooms/88528,20231226034138,2023-12-27,city scrape,,,2023-12-27
67,256323,https://www.airbnb.com/rooms/256323,20231226034138,2023-12-26,city scrape,,,2023-12-26
68,257618,https://www.airbnb.com/rooms/257618,20231226034138,2023-12-26,city scrape,,,2023-12-26
69,360877,https://www.airbnb.com/rooms/360877,20231226034138,2023-12-27,city scrape,,,2023-12-27
70,361568,https://www.airbnb.com/rooms/361568,20231226034138,2023-12-28,city scrape,,,2023-12-28
71,88781,https://www.airbnb.com/rooms/88781,20231226034138,2023-12-27,city scrape,,,2023-12-27
72,361569,https://www.airbnb.com/rooms/361569,20231226034138,2023-12-28,city scrape,,,2023-12-28
73,262466,https://www.airbnb.com/rooms/262466,20231226034138,2023-12-26,city scrape,,,2023-12-26
74,89893,https://www.airbnb.com/rooms/89893,20231226034138,2023-12-27,previous scrape,,,2023-12-27
75,264816,https://www.airbnb.com/rooms/264816,20231226034138,2023-12-27,previous scrape,,,2023-12-27
76,368146,https://www.airbnb.com/rooms/368146,20231226034138,2023-12-27,city scrape,,,2023-12-27
77,371950,https://www.airbnb.com/rooms/371950,20231226034138,2023-12-26,city scrape,,,2023-12-26
78,89981,https://www.airbnb.com/rooms/89981,20231226034138,2023-12-26,city scrape,,,2023-12-26
79,380887,https://www.airbnb.com/rooms/380887,20231226034138,2023-12-27,city scrape,,,2023-12-27
80,265072,https://www.airbnb.com/rooms/265072,20231226034138,2023-12-27,city scrape,,,2023-12-27
81,94895,https://www.airbnb.com/rooms/94895,20231226034138,2023-12-27,city scrape,,,2023-12-27
82,391835,https://www.airbnb.com/rooms/391835,20231226034138,2023-12-26,city scrape,,,2023-12-26
83,96431,https://www.airbnb.com/rooms/96431,20231226034138,2023-12-28,city scrape,,,2023-12-28
84,392267,https://www.airbnb.com/rooms/392267,20231226034138,2023-12-26,city scrape,,,2023-12-26
85,396849,https://www.airbnb.com/rooms/396849,20231226034138,2023-12-28,city scrape,,,2023-12-28
86,399476,https://www.airbnb.com/rooms/399476,20231226034138,2023-12-27,previous scrape,,,2023-12-27
87,265752,https://www.airbnb.com/rooms/265752,20231226034138,2023-12-27,city scrape,,,2023-12-27
88,271975,https://www.airbnb.com/rooms/271975,20231226034138,2023-12-28,city scrape,,,2023-12-28
89,272335,https://www.airbnb.com/rooms/272335,20231226034138,2023-12-29,city scrape,,,2023-12-29
90,97636,https://www.airbnb.com/rooms/97636,20231226034138,2023-12-28,city scrape,,,2023-12-28
91,272631,https://www.airbnb.com/rooms/272631,20231226034138,2023-12-27,city scrape,,,2023-12-27
92,273261,https://www.airbnb.com/rooms/273261,20231226034138,2023-12-26,city scrape,,,2023-12-26
93,400326,https://www.airbnb.com/rooms/400326,20231226034138,2023-12-27,city scrape,,,2023-12-27
94,98969,https://www.airbnb.com/rooms/98969,20231226034138,2023-12-26,city scrape,,,2023-12-26
95,404674,https://www.airbnb.com/rooms/404674,20231226034138,2023-12-27,previous scrape,,,2023-12-27
96,273333,https://www.airbnb.com/rooms/273333,20231226034138,2023-12-28,city scrape,,,2023-12-28
97,99547,https://www.airbnb.com/rooms/99547,20231226034138,2023-12-26,city scrape,,,2023-12-26
98,99971,https://www.airbnb.com/rooms/99971,20231226034138,2023-12-28,city scrape,,,2023-12-28
99,273363,https://www.airbnb.com/rooms/273363,20231226034138,2023-12-26,city scrape,,,2023-12-26
100,273463,https://www.airbnb.com/rooms/273463,20231226034138,2023-12-26,city scrape,,,2023-12-26
101,404771,https://www.airbnb.com/rooms/404771,20231226034138,2023-12-27,city scrape,,,2023-12-27
102,404811,https://www.airbnb.com/rooms/404811,20231226034138,2023-12-27,previous scrape,,,2023-12-27
103,405444,https://www.airbnb.com/rooms/405444,20231226034138,2023-12-27,city scrape,,,2023-12-27
104,103053,https://www.airbnb.com/rooms/103053,20231226034138,2023-12-27,previous scrape,,,2023-12-27
105,406603,https://www.airbnb.com/rooms/406603,20231226034138,2023-12-27,city scrape,,,2023-12-27
106,273496,https://www.airbnb.com/rooms/273496,20231226034138,2023-12-26,city scrape,,,2023-12-26
107,273753,https://www.airbnb.com/rooms/273753,20231226034138,2023-12-26,city scrape,,,2023-12-26
108,274116,https://www.airbnb.com/rooms/274116,20231226034138,2023-12-26,city scrape,,,2023-12-26
109,106372,https://www.airbnb.com/rooms/106372,20231226034138,2023-12-28,city scrape,,,2023-12-28
110,278679,https://www.airbnb.com/rooms/278679,20231226034138,2023-12-27,city scrape,,,2023-12-27
111,280625,https://www.airbnb.com/rooms/280625,20231226034138,2023-12-28,city scrape,,,2023-12-28
112,281304,https://www.airbnb.com/rooms/281304,20231226034138,2023-12-27,city scrape,,,2023-12-27
113,409038,https://www.airbnb.com/rooms/409038,20231226034138,2023-12-27,city scrape,,,2023-12-27
114,107469,https://www.airbnb.com/rooms/107469,20231226034138,2023-12-26,city scrape,,,2023-12-26
115,409183,https://www.airbnb.com/rooms/409183,20231226034138,2023-12-26,city scrape,,,2023-12-26
116,281459,https://www.airbnb.com/rooms/281459,20231226034138,2023-12-28,city scrape,,,2023-12-28
117,282071,https://www.airbnb.com/rooms/282071,20231226034138,2023-12-26,city scrape,,,2023-12-26
118,108072,https://www.airbnb.com/rooms/108072,20231226034138,2023-12-27,city scrape,,,2023-12-27
119,284762,https://www.airbnb.com/rooms/284762,20231226034138,2023-12-27,city scrape,,,2023-12-27
120,416290,https://www.airbnb.com/rooms/416290,20231226034138,2023-12-28,city scrape,,,2023-12-28
121,109747,https://www.airbnb.com/rooms/109747,20231226034138,2023-12-26,city scrape,,,2023-12-26
122,421001,https://www.airbnb.com/rooms/421001,20231226034138,2023-12-28,city scrape,,,2023-12-28
123,284910,https://www.airbnb.com/rooms/284910,20231226034138,2023-12-27,previous scrape,,,2023-12-27
124,118355,https://www.airbnb.com/rooms/118355,20231226034138,2023-12-28,city scrape,,,2023-12-28
125,285363,https://www.airbnb.com/rooms/285363,20231226034138,2023-12-27,city scrape,,,2023-12-27
126,428798,https://www.airbnb.com/rooms/428798,20231226034138,2023-12-26,city scrape,,,2023-12-26
127,435728,https://www.airbnb.com/rooms/435728,20231226034138,2023-12-27,previous scrape,,,2023-12-27
128,125656,https://www.airbnb.com/rooms/125656,20231226034138,2023-12-27,city scrape,,,2023-12-27
129,127018,https://www.airbnb.com/rooms/127018,20231226034138,2023-12-28,city scrape,,,2023-12-28
130,436868,https://www.airbnb.com/rooms/436868,20231226034138,2023-12-26,city scrape,,,2023-12-26
131,438767,https://www.airbnb.com/rooms/438767,20231226034138,2023-12-28,city scrape,,,2023-12-28
132,439907,https://www.airbnb.com/rooms/439907,20231226034138,2023-12-28,city scrape,,,2023-12-28
133,285554,https://www.airbnb.com/rooms/285554,20231226034138,2023-12-27,previous scrape,,,2023-12-27
134,286677,https://www.airbnb.com/rooms/286677,20231226034138,2023-12-27,city scrape,,,2023-12-27
135,128727,https://www.airbnb.com/rooms/128727,20231226034138,2023-12-28,city scrape,,,2023-12-28
136,286788,https://www.airbnb.com/rooms/286788,20231226034138,2023-12-27,city scrape,,,2023-12-27
137,441118,https://www.airbnb.com/rooms/441118,20231226034138,2023-12-27,city scrape,,,2023-12-27
138,441119,https://www.airbnb.com/rooms/441119,20231226034138,2023-12-27,city scrape,,,2023-12-27
139,130234,https://www.airbnb.com/rooms/130234,20231226034138,2023-12-27,city scrape,,,2023-12-27
140,132114,https://www.airbnb.com/rooms/132114,20231226034138,2023-12-28,city scrape,,,2023-12-28
141,286792,https://www.airbnb.com/rooms/286792,20231226034138,2023-12-26,city scrape,,,2023-12-26
142,132832,https://www.airbnb.com/rooms/132832,20231226034138,2023-12-27,previous scrape,,,2023-12-27
143,288732,https://www.airbnb.com/rooms/288732,20231226034138,2023-12-27,city scrape,,,2023-12-27
144,442509,https://www.airbnb.com/rooms/442509,20231226034138,2023-12-26,city scrape,,,2023-12-26
145,133221,https://www.airbnb.com/rooms/133221,20231226034138,2023-12-26,city scrape,,,2023-12-26
146,137002,https://www.airbnb.com/rooms/137002,20231226034138,2023-12-26,city scrape,,,2023-12-26
147,137048,https://www.airbnb.com/rooms/137048,20231226034138,2023-12-27,city scrape,,,2023-12-27
148,444250,https://www.airbnb.com/rooms/444250,20231226034138,2023-12-27,city scrape,,,2023-12-27
149,449040,https://www.airbnb.com/rooms/449040,20231226034138,2023-12-28,city scrape,,,2023-12-28
150,289898,https://www.airbnb.com/rooms/289898,20231226034138,2023-12-27,city scrape,,,2023-12-27
151,290503,https://www.airbnb.com/rooms/290503,20231226034138,2023-12-27,city scrape,,,2023-12-27
152,290513,https://www.airbnb.com/rooms/290513,20231226034138,2023-12-26,city scrape,,,2023-12-26
153,137150,https://www.airbnb.com/rooms/137150,20231226034138,2023-12-28,city scrape,,,2023-12-28
154,449177,https://www.airbnb.com/rooms/449177,20231226034138,2023-12-28,city scrape,,,2023-12-28
155,141434,https://www.airbnb.com/rooms/141434,20231226034138,2023-12-26,city scrape,,,2023-12-26
156,449391,https://www.airbnb.com/rooms/449391,20231226034138,2023-12-27,city scrape,,,2023-12-27
157,291290,https://www.airbnb.com/rooms/291290,20231226034138,2023-12-27,city scrape,,,2023-12-27
158,291771,https://www.airbnb.com/rooms/291771,20231226034138,2023-12-28,city scrape,,,2023-12-28
159,294292,https://www.airbnb.com/rooms/294292,20231226034138,2023-12-30,city scrape,,,2023-12-30
160,146249,https://www.airbnb.com/rooms/146249,20231226034138,2023-12-27,previous scrape,,,2023-12-27
161,461479,https://www.airbnb.com/rooms/461479,20231226034138,2023-12-27,city scrape,,,2023-12-27
162,462947,https://www.airbnb.com/rooms/462947,20231226034138,2023-12-27,previous scrape,,,2023-12-27
163,146402,https://www.airbnb.com/rooms/146402,20231226034138,2023-12-28,city scrape,,,2023-12-28
164,464220,https://www.airbnb.com/rooms/464220,20231226034138,2023-12-28,city scrape,,,2023-12-28
165,295493,https://www.airbnb.com/rooms/295493,20231226034138,2023-12-28,city scrape,,,2023-12-28
166,154127,https://www.airbnb.com/rooms/154127,20231226034138,2023-12-28,city scrape,,,2023-12-28
167,295683,https://www.airbnb.com/rooms/295683,20231226034138,2023-12-26,city scrape,,,2023-12-26
168,465251,https://www.airbnb.com/rooms/465251,20231226034138,2023-12-26,city scrape,,,2023-12-26
169,466477,https://www.airbnb.com/rooms/466477,20231226034138,2023-12-27,city scrape,,,2023-12-27
170,166177,https://www.airbnb.com/rooms/166177,20231226034138,2023-12-27,city scrape,,,2023-12-27
171,469673,https://www.airbnb.com/rooms/469673,20231226034138,2023-12-28,city scrape,,,2023-12-28
172,295955,https://www.airbnb.com/rooms/295955,20231226034138,2023-12-27,previous scrape,,,2023-12-27
173,166861,https://www.airbnb.com/rooms/166861,20231226034138,2023-12-27,city scrape,,,2023-12-27
174,296910,https://www.airbnb.com/rooms/296910,20231226034138,2023-12-26,city scrape,,,2023-12-26
175,473180,https://www.airbnb.com/rooms/473180,20231226034138,2023-12-26,city scrape,,,2023-12-26
176,166972,https://www.airbnb.com/rooms/166972,20231226034138,2023-12-26,city scrape,,,2023-12-26
177,297908,https://www.airbnb.com/rooms/297908,20231226034138,2023-12-26,city scrape,,,2023-12-26
178,167031,https://www.airbnb.com/rooms/167031,20231226034138,2023-12-27,city scrape,,,2023-12-27
179,479414,https://www.airbnb.com/rooms/479414,20231226034138,2023-12-26,city scrape,,,2023-12-26
180,167932,https://www.airbnb.com/rooms/167932,20231226034138,2023-12-27,city scrape,,,2023-12-27
